District,Month,rainfall
Jabalpur,2,16.107692307692307
Mandsaur,2,3.207692307692308
Shahdol,2,21.77692307692308
Ujjain,2,4.4
Bhind,2,9.53076923076923
Dhar,2,3.238461538461538
Bhopal,2,7.630769230769232
Morena,2,6.423076923076923
Ratlam,2,2.853846153846154
Rajgarh,2,6.369230769230769
Barwani,2,0.6
Jalandhar,2,21.94615384615385
Nawanshahar,2,35.784615384615385
Tarn Taran,2,23.339999999999996
Sas Nagar,2,21.619999999999997
Mansa,2,12.3
Barnala,2,13.755555555555555
Faridkot,2,18.116666666666667
Kapurthala,2,78.25384615384615
Patiala,2,19.384615384615383
Firozpur,2,5.238461538461539
Ludhiana,2,22.523076923076925
Ropar,2,35.41538461538461
Moga,2,11.038461538461538
Sangrur,2,15.2
Amritsar,2,25.23076923076923
Gurdaspur,2,59.72307692307693
Muktasar,2,13.307692307692308
Hoshiarpur,2,36.823076923076925
Bathinda,2,12.715384615384616
Fatehgarh Sahib,2,12.03076923076923
Jaintia Hills,2,52.699999999999996
Garo Hills,2,10.36
Garo Hills,2,11.36
Ri Bhoi,2,10.84
Khasi Hills,2,20.666666666666668
Khasi Hills,2,37.95384615384616
Garo Hills,2,17.115384615384617
Kozhikode,2,4.153846153846153
Wayanad,2,9.06153846153846
Malappuram,2,4.184615384615385
Alappuzha,2,27.930769230769233
Kannur,2,3.923076923076923
Kasargod,2,11.325000000000001
Ernakulam,2,26.992307692307694
Palakkad,2,12.753846153846153
Kottayam,2,19.492307692307698
Idukki,2,15.7
Pathanamthitta,2,28.184615384615384
Kasaragod,2,9.588888888888889
Kollam,2,27.700000000000003
Thiruvananthapuram,2,18.63076923076923
Thrissur,2,8.676923076923078
Hazaribagh,2,11.499999999999998
